,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval)
73,UNTIIA_DGEWS,0.2471870692666288,0.627628834604815,0.3804417653381862,1.3492036307387587e-20,0.06763948121714955,0.2974148071424373,0.22977532592528774,2.9291092078326805e-11,0.342,0.398,0.055999999999999994,0.10058935718860693,0.18155307253477665,0.29169657065472476,0.11014349811994811,0.001744982502446654
74,RSA_DSC_LA_1,0.5437886797876568,0.7113057791012174,0.16751709931356062,1.2151929533205623e-08,0.24058430663557193,0.4076230518078123,0.16703874517224035,2.6877208868627705e-07,0.5479999999999999,0.5539999999999999,0.006000000000000005,0.8585608121297323,0.45305183802952725,0.39170165661305334,-0.061350181416473915,0.014551153584822283
75,UDInfoPMSA2,0.6044419934896447,0.7068774877469477,0.10243549425730303,2.3713084053948428e-05,0.2831181355524487,0.39923198101643337,0.11611384546398468,4.474834104882067e-05,0.586,0.536,-0.04999999999999993,0.09589829172239378,0.44952670263028105,0.3831145096807308,-0.06641219294955025,0.0026414581222547243
76,mayopubtator,0.35016740998591867,0.6253540837977206,0.27518667381180195,1.8501232341033846e-17,0.14595777577096256,0.33235962655946205,0.1864018507884995,2.0437339048449504e-12,0.49,0.43199999999999994,-0.05800000000000005,0.011711152510075236,0.2845298310471337,0.3377845110648966,0.0532546800177629,0.022216159213802697
77,SIBTMlit5,0.6326107512183374,0.7213716866819593,0.08876093546362185,0.00023363278928494627,0.30596458188869313,0.4176310272299801,0.11166644534128695,0.0002032482662039151,0.634,0.5419999999999999,-0.09200000000000008,0.0058522312816751566,0.4897899716676126,0.4071847450631367,-0.08260522660447595,0.0013216748381121549
78,KL18absWV,0.29353258377407665,0.6368998625190724,0.34336727874499573,8.387523067749741e-19,0.0787815661064085,0.33358619728534206,0.25480463117893354,1.3073928274563362e-13,0.28400000000000003,0.44199999999999995,0.15799999999999992,4.207790455883931e-05,0.24342141546385165,0.3253663724480983,0.08194495698424664,0.00028365122463595144
79,sumEW,0.4199594683510576,0.6347689160430611,0.2148094476920035,7.527279579564797e-14,0.16548831399354852,0.3497298934704796,0.1842415794769311,4.952586418298968e-10,0.498,0.452,-0.045999999999999985,0.09100849716427432,0.326995486540109,0.34638253269481845,0.01938704615470943,0.30603234694422643
80,para_fusion,0.5339877349374715,0.6981934625387303,0.16420572760125873,1.2498471551421266e-11,0.2232860940178377,0.39089819969574097,0.16761210567790327,5.111623157578828e-09,0.49199999999999994,0.54,0.0480000000000001,0.08319896692938424,0.40794617539964295,0.37303065976756933,-0.034915515632073624,0.09812583545189445
81,aCSIROmedMCB,0.34341183585609625,0.6645223756713243,0.3211105398152281,6.047349978141822e-19,0.10876220653131055,0.3408133818586987,0.23205117532738814,8.690589541846136e-12,0.414,0.48800000000000004,0.07400000000000007,0.04070885111412371,0.2831041181602018,0.33126289713724416,0.04815877897704235,0.017157318052226502
82,UTDHLTRI_NL,0.5607770476193477,0.7079099820409017,0.14713293442155406,6.36690212803829e-07,0.2584744979820688,0.40669234962726997,0.14821785164520118,2.063552306413293e-06,0.622,0.55,-0.07199999999999995,0.015541747354475655,0.4579351681822942,0.385499019109415,-0.07243614907287921,0.00385961235325543
83,UVAEXPBSTEXT,0.20031800550994558,0.5967158045489092,0.39639779903896355,5.147801159047788e-22,0.08473028856948549,0.28863100869313024,0.20390072012364474,2.7129913818623453e-10,0.628,0.382,-0.246,3.135139858648915e-11,0.11137846750984505,0.27405539251623395,0.16267692500638892,4.446730826083909e-06
84,RSA_DSC_LA_5,0.5706848753742707,0.7167926316969868,0.1461077563227161,7.284649378274658e-08,0.252346664235451,0.40972375165363956,0.15737708741818857,1.7895763374773954e-07,0.5840000000000001,0.56,-0.02400000000000002,0.4441422170034477,0.45817046150527896,0.3932691800280633,-0.06490128147721563,0.006577379911590102
85,UNTIIA_WTU,0.18562297014791138,0.6121188822053779,0.4264959120574665,2.6201125356593385e-24,0.05059127235629373,0.2839551600615952,0.23336388770530148,2.475402784446349e-12,0.354,0.386,0.03200000000000003,0.39374859231288595,0.1309165958389169,0.2824004846124373,0.15148388877352037,1.5316704049712187e-05
